round,region,seed.1,name.1,link.1,seed.2,name.2,link.2,win_pct.1,srs.1,sos.1,win_pct_home.1,win_pct_away.1,win_pct_conf.1,pace.1,off_rtg.1,fta_per_fga_pct.1,fg3a_per_fga_pct.1,ts_pct.1,trb_pct.1,ast_pct.1,stl_pct.1,blk_pct.1,efg_pct.1,tov_pct.1,orb_pct.1,ft_rate.1,conf.1,fg_pg.1,fg_pct.1,fg2_pg.1,fg2_pct.1,fg3_pg.1,fg3_pct.1,ft_pg.1,ft_pct.1,orb_pg.1,drb_pg.1,trb_pg.1,ast_pg.1,stl_pg.1,blk_pg.1,tov_pg.1,pf_pg.1,pts_pg.1,fg_pg_opp.1,fg_pct_opp.1,fg2_pg_opp.1,fg2_pct_opp.1,fg3_pg_opp.1,fg3_pct_opp.1,ft_pg_opp.1,ft_pct_opp.1,orb_pg_opp.1,drb_pg_opp.1,trb_pg_opp.1,ast_pg_opp.1,stl_pg_opp.1,blk_pg_opp.1,tov_pg_opp.1,pf_pg_opp.1,pts_pg_opp.1,mp_bench_pct.1,pts_bench_pct.1,height_avg.1,height_max.1,exp_avg.1,rsci_pct.1,min_return.1,pts_return.1,win_pct.2,srs.2,sos.2,win_pct_home.2,win_pct_away.2,win_pct_conf.2,pace.2,off_rtg.2,fta_per_fga_pct.2,fg3a_per_fga_pct.2,ts_pct.2,trb_pct.2,ast_pct.2,stl_pct.2,blk_pct.2,efg_pct.2,tov_pct.2,orb_pct.2,ft_rate.2,conf.2,fg_pg.2,fg_pct.2,fg2_pg.2,fg2_pct.2,fg3_pg.2,fg3_pct.2,ft_pg.2,ft_pct.2,orb_pg.2,drb_pg.2,trb_pg.2,ast_pg.2,stl_pg.2,blk_pg.2,tov_pg.2,pf_pg.2,pts_pg.2,fg_pg_opp.2,fg_pct_opp.2,fg2_pg_opp.2,fg2_pct_opp.2,fg3_pg_opp.2,fg3_pct_opp.2,ft_pg_opp.2,ft_pct_opp.2,orb_pg_opp.2,drb_pg_opp.2,trb_pg_opp.2,ast_pg_opp.2,stl_pg_opp.2,blk_pg_opp.2,tov_pg_opp.2,pf_pg_opp.2,pts_pg_opp.2,mp_bench_pct.2,pts_bench_pct.2,height_avg.2,height_max.2,exp_avg.2,rsci_pct.2,min_return.2,pts_return.2
0,east,16,American,/cbb/schools/american/men/2025.html,16,Mount St. Mary's,/cbb/schools/mount-st-marys/men/2025.html,0.647,-7.01,-6.54,0.875,0.3333333333333333,0.7222222222222222,64.4,105.1,0.304,0.449,0.555,48.4,52.4,10.1,5.3,0.521,15.2,24.4,0.23,patriot,23.9,.443,15.5,.521,8.4,.347,12.4,.756,7.7,22.6,30.3,12.5,6.6,1.9,11.1,17.9,68.6,24.2,.454,18.1,.521,6.1,.329,12.8,.696,8.5,23.8,32.3,12.1,6.0,2.8,11.9,15.7,67.3,NA,NA,76.5,81,3.3333333333333335,0,79.6,78.3,0.647,-7.79,-7.28,0.7142857142857143,0.5294117647058824,0.6,68,102,0.316,0.41,0.547,53.1,60.7,8.9,8.2,0.514,19.1,31.5,0.232,maac,24.7,.442,16.7,.508,8.0,.348,13.0,.734,10.3,27.4,37.7,15.0,6.1,2.8,15.1,15.8,70.4,24.7,.406,16.3,.482,8.4,.312,11.9,.735,10.9,22.4,33.3,13.0,8.9,3.1,11.2,16.2,69.8,NA,NA,77.33333333333333,81,3.1666666666666665,0,34.5,32
0,midwest,11,Texas,/cbb/schools/texas/men/2025.html,11,Xavier,/cbb/schools/xavier/men/2025.html,0.559,16.18,9.98,0.6111111111111112,0.4,0.3333333333333333,68.4,113,0.366,0.354,0.565,50.6,47.5,9.1,11.7,0.525,12.5,29.8,0.274,sec,27.3,.462,19.8,.518,7.5,.360,16.2,.749,10.2,25.5,35.7,13.0,6.3,4.4,9.9,18.9,78.4,24.6,.424,17.6,.475,7.0,.333,16.0,.701,10.8,24.1,34.9,11.9,5.8,3.1,11.5,18.8,72.2,NA,NA,77.66666666666667,83,3.3333333333333335,0.6666666666666666,20.8,21,0.656,15.56,8.41,0.8823529411764706,0.4166666666666667,0.65,69.4,111.5,0.372,0.374,0.584,51,63.9,11,7.2,0.539,14.4,25.2,0.295,big-east,26.5,.466,18.3,.513,8.3,.388,16.8,.794,8.0,25.7,33.7,16.9,7.7,2.6,11.2,15.6,78.0,25.9,.443,18.5,.505,7.3,.339,11.8,.718,8.7,23.7,32.3,14.5,5.9,4.0,12.3,18.0,70.9,NA,NA,76.5,81,3.5,0.16666666666666666,32.3,29.2
0,south,16,Alabama St.,/cbb/schools/alabama-state/men/2025.html,16,Saint Francis U,/cbb/schools/saint-francis-pa/men/2025.html,0.559,-9.23,-8.93,0.7272727272727273,0.375,0.6666666666666666,69.5,105.3,0.297,0.428,0.507,47.8,45.8,11.2,8.2,0.476,11.2,28.9,0.206,swac,25.7,.405,16.7,.461,9.0,.330,13.1,.692,11.7,24.6,36.2,11.8,7.8,2.9,9.1,18.2,73.4,24.8,.435,17.4,.502,7.4,.331,15.3,.699,10.9,28.7,39.6,12.3,5.2,3.3,13.1,16.1,72.2,NA,NA,76.33333333333333,82,3.3333333333333335,0,62.4,66.5,0.485,-12.53,-7.07,0.7142857142857143,0.3157894736842105,0.5,67.1,104,0.231,0.42,0.555,49.7,53.4,9.3,7,0.532,16.7,26.4,0.168,northeast,26.6,.461,18.4,.550,8.2,.339,9.7,.727,8.7,25.3,34.0,14.2,6.3,2.4,12.9,15.2,71.1,25.8,.432,17.8,.525,7.9,.309,12.2,.736,10.1,24.2,34.4,13.1,8.0,2.9,11.2,14.2,71.6,NA,NA,75.66666666666667,79,1.8333333333333333,0,60.2,53.9
0,south,11,San Diego St.,/cbb/schools/san-diego-state/men/2025.html,11,North Carolina,/cbb/schools/north-carolina/men/2025.html,0.7,13.77,8.04,0.8,0.6,0.7,66.2,106.1,0.314,0.4,0.536,50,51.3,11.5,18.7,0.511,14.2,29.8,0.209,mwc,25.5,.444,17.8,.516,7.7,.335,12.0,.666,10.2,25.2,35.4,13.1,7.7,5.5,11.0,18.5,70.9,20.8,.378,13.0,.445,7.8,.302,14.1,.700,11.4,24.0,35.3,10.5,5.9,2.9,13.4,17.6,63.6,NA,NA,77.5,84,3,0,25.8,21.4,0.629,17.16,11.33,0.8,0.5,0.65,70.8,113.4,0.348,0.37,0.575,52.1,51,8.3,9.7,0.542,13.3,29.2,0.257,acc,28.7,.476,20.8,.549,7.9,.353,15.5,.737,9.8,26.9,36.7,14.7,5.9,3.7,10.8,16.8,80.8,26.7,.432,18.8,.492,7.8,.335,13.8,.748,10.0,23.7,33.7,12.7,6.1,4.0,10.8,17.3,75.0,NA,NA,75.66666666666667,80,2.3333333333333335,0.8333333333333334,47.6,50.6
1,east,1,Duke,/cbb/schools/duke/men/2025.html,16,NA,NA,0.912,30.31,9.51,1,0.9090909090909091,0.95,66.6,124.2,0.321,0.454,0.607,55.8,58.1,10.4,10.6,0.574,12.3,35.2,0.252,acc,28.9,.488,18.7,.580,10.1,.377,14.9,.784,11.2,27.4,38.6,16.8,6.9,3.8,9.6,15.9,82.7,22.3,.386,15.6,.434,6.8,.309,10.5,.715,9.9,20.6,30.5,11.5,5.4,3.1,11.8,16.5,61.9,NA,NA,79.66666666666667,86,1.6666666666666667,0.8333333333333334,23.6,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,east,8,Mississippi State,/cbb/schools/mississippi-state/men/2025.html,9,Baylor,/cbb/schools/baylor/men/2025.html,0.636,17.53,11.92,0.6666666666666666,0.5454545454545454,0.4444444444444444,69.7,113.1,0.316,0.423,0.546,51.7,53.3,13.1,14.3,0.517,12.7,34.1,0.221,sec,28.6,.451,20.2,.552,8.4,.314,14.1,.700,13.0,25.2,38.2,15.3,9.2,4.6,10.6,17.4,79.8,25.4,.439,16.2,.501,9.2,.361,14.2,.695,10.5,25.1,35.6,13.5,6.1,3.2,13.4,17.3,74.2,NA,NA,77,82,3.3333333333333335,0.3333333333333333,42.5,47.4,0.576,19.42,13.57,0.8125,0.25,0.5,66,113.6,0.306,0.399,0.552,52.4,53.9,11.4,8.7,0.518,13.7,36.2,0.228,big-12,27.1,.448,18.6,.513,8.5,.351,13.8,.745,12.7,23.2,36.0,14.6,7.6,2.9,11.0,16.3,76.5,24.2,.433,16.3,.490,7.9,.350,12.9,.697,10.3,22.4,32.7,14.4,6.0,3.9,12.7,16.7,69.2,NA,NA,76,79,3,0.5,30,28.6
1,east,5,Oregon,/cbb/schools/oregon/men/2025.html,12,Liberty,/cbb/schools/liberty/men/2025.html,0.727,17.49,12.21,0.75,0.6363636363636364,0.6,68.6,109.9,0.334,0.386,0.561,51.4,54.4,10.3,10.1,0.522,14.2,30.6,0.255,big-ten,26.8,.457,19.1,.530,7.7,.340,14.9,.763,10.2,25.3,35.5,14.6,7.2,3.8,11.3,16.4,76.2,25.9,.431,18.8,.500,7.1,.317,12.0,.721,10.5,23.2,33.7,13.0,6.1,3.2,12.2,17.8,70.9,NA,NA,77.33333333333333,84,3.6666666666666665,0.3333333333333333,46.7,42.2,0.824,8.22,-1.39,0.8,0.8181818181818182,0.7222222222222222,67,113.8,0.293,0.485,0.602,49.2,61.2,9.8,7.7,0.589,13.7,20.7,0.194,cusa,27.6,.494,17.0,.593,10.6,.390,10.8,.661,6.4,26.6,33.0,16.9,6.6,2.9,10.1,13.5,76.6,23.3,.401,17.5,.466,5.8,.283,10.5,.735,9.6,24.5,34.1,9.4,6.0,2.5,12.0,14.4,62.9,NA,NA,75.5,80,3.3333333333333335,0,53.7,51.1
1,east,4,Arizona,/cbb/schools/arizona/men/2025.html,13,Akron,/cbb/schools/akron/men/2025.html,0.647,23.12,13.82,0.8125,0.5454545454545454,0.7,70.2,115.6,0.366,0.346,0.573,54.7,56.7,10.9,12,0.529,13.8,35.9,0.287,big-12,28.7,.473,21.9,.551,6.8,.324,17.4,.784,12.2,27.4,39.6,16.3,7.7,4.3,11.5,16.6,81.7,25.5,.415,16.9,.472,8.6,.336,12.8,.714,10.9,21.9,32.7,13.6,6.4,2.7,11.8,17.7,72.4,NA,NA,78.16666666666667,84,3,0.6666666666666666,42.6,42.8,0.824,3.54,-4.52,1,0.6666666666666666,0.9444444444444444,72.4,116.3,0.259,0.461,0.583,53,59.2,10.6,9.8,0.557,14.2,33.5,0.195,mac,30.6,.473,19.7,.566,10.9,.364,12.6,.753,12.1,26.9,39.0,18.1,7.7,3.7,12.0,17.9,84.6,26.3,.428,18.9,.499,7.4,.314,14.5,.723,10.6,23.9,34.5,11.7,7.1,2.3,12.6,16.5,74.5,NA,NA,74.33333333333333,79,3.1666666666666665,0,25,20.7
1,east,6,BYU,/cbb/schools/brigham-young/men/2025.html,11,VCU,/cbb/schools/virginia-commonwealth/men/2025.html,0.727,19.8,9.71,0.8823529411764706,0.5454545454545454,0.7,67.8,117.3,0.302,0.483,0.593,54.3,59.9,10.4,9.8,0.572,15.1,33.3,0.213,big-12,28.8,.482,18.1,.586,10.7,.371,12.7,.705,11.1,26.4,37.5,17.2,7.2,3.2,12.1,16.1,81.0,24.9,.429,15.9,.493,9.0,.348,12.1,.706,9.3,22.2,31.5,13.0,6.6,2.6,11.9,16.5,70.9,NA,NA,77.83333333333333,81,3,0,49,49.6,0.824,15.17,1.35,0.9375,0.7,0.8333333333333334,66.7,115.2,0.328,0.476,0.56,53.5,56.4,12.1,15.6,0.525,14.1,37.1,0.244,atlantic-10,26.6,.446,17.1,.548,9.5,.334,14.5,.744,13.3,25.1,38.4,15.0,8.1,5.5,11.3,17.9,77.1,21.2,.388,15.4,.433,5.8,.304,14.2,.717,10.8,22.5,33.3,9.9,6.6,2.3,13.8,17.1,62.4,NA,NA,76.83333333333333,82,3.8333333333333335,0.3333333333333333,60.9,64.7
1,east,3,Wisconsin,/cbb/schools/wisconsin/men/2025.html,14,Montana,/cbb/schools/montana/men/2025.html,0.743,20.94,11.65,0.8235294117647058,0.5454545454545454,0.65,68.6,115.7,0.338,0.481,0.582,51.8,54.9,7.5,6.1,0.536,12.4,28,0.279,big-ten,26.7,.452,16.7,.547,9.9,.349,16.5,.828,9.4,27.1,36.5,14.6,5.2,2.3,9.7,16.7,79.7,25.1,.414,17.3,.468,7.8,.330,12.3,.723,9.8,24.1,34.0,12.4,4.7,3.3,10.0,18.5,70.4,NA,NA,77.83333333333333,84,3.3333333333333335,0.16666666666666666,51.4,47,0.735,-1.14,-1.92,0.9375,0.4666666666666667,0.8333333333333334,68,112.7,0.354,0.37,0.598,49.4,49.1,9.2,8.5,0.568,14.5,23.8,0.26,big-sky,27.6,.502,20.3,.585,7.3,.360,14.3,.736,7.2,24.6,31.7,13.6,6.3,3.3,10.9,16.1,76.9,26.6,.455,20.0,.522,6.6,.328,13.1,.738,9.5,23.0,32.5,12.4,5.5,2.8,10.9,17.6,72.9,NA,NA,76.5,80,3.1666666666666665,0,30.9,32.9
