seed.1,name.1,link.1,seed.2,name.2,link.2,round,year,winner,point_diff,win_pct.1,srs.1,sos.1,win_pct_home.1,win_pct_away.1,win_pct_conf.1,pace.1,off_rtg.1,fta_per_fga_pct.1,fg3a_per_fga_pct.1,ts_pct.1,trb_pct.1,ast_pct.1,stl_pct.1,blk_pct.1,efg_pct.1,tov_pct.1,orb_pct.1,ft_rate.1,conf.1,fg_pg.1,fg_pct.1,fg2_pg.1,fg2_pct.1,fg3_pg.1,fg3_pct.1,ft_pg.1,ft_pct.1,orb_pg.1,drb_pg.1,trb_pg.1,ast_pg.1,stl_pg.1,blk_pg.1,tov_pg.1,pf_pg.1,pts_pg.1,fg_pg_opp.1,fg_pct_opp.1,fg2_pg_opp.1,fg2_pct_opp.1,fg3_pg_opp.1,fg3_pct_opp.1,ft_pg_opp.1,ft_pct_opp.1,orb_pg_opp.1,drb_pg_opp.1,trb_pg_opp.1,ast_pg_opp.1,stl_pg_opp.1,blk_pg_opp.1,tov_pg_opp.1,pf_pg_opp.1,pts_pg_opp.1,mp_bench_pct.1,pts_bench_pct.1,height_avg.1,height_max.1,exp_avg.1,rsci_pct.1,min_return.1,pts_return.1,win_pct.2,srs.2,sos.2,win_pct_home.2,win_pct_away.2,win_pct_conf.2,pace.2,off_rtg.2,fta_per_fga_pct.2,fg3a_per_fga_pct.2,ts_pct.2,trb_pct.2,ast_pct.2,stl_pct.2,blk_pct.2,efg_pct.2,tov_pct.2,orb_pct.2,ft_rate.2,conf.2,fg_pg.2,fg_pct.2,fg2_pg.2,fg2_pct.2,fg3_pg.2,fg3_pct.2,ft_pg.2,ft_pct.2,orb_pg.2,drb_pg.2,trb_pg.2,ast_pg.2,stl_pg.2,blk_pg.2,tov_pg.2,pf_pg.2,pts_pg.2,fg_pg_opp.2,fg_pct_opp.2,fg2_pg_opp.2,fg2_pct_opp.2,fg3_pg_opp.2,fg3_pct_opp.2,ft_pg_opp.2,ft_pct_opp.2,orb_pg_opp.2,drb_pg_opp.2,trb_pg_opp.2,ast_pg_opp.2,stl_pg_opp.2,blk_pg_opp.2,tov_pg_opp.2,pf_pg_opp.2,pts_pg_opp.2,mp_bench_pct.2,pts_bench_pct.2,height_avg.2,height_max.2,exp_avg.2,rsci_pct.2,min_return.2,pts_return.2
1,Duke,/cbb/schools/duke/men/2025.html,16,Mount St. Mary's,/cbb/schools/mount-st-marys/men/2025.html,1,2025,team1,44,0.897,30.72,10.26,1,0.9090909090909091,0.95,66.6,125,0.329,0.446,0.613,55.2,58.6,10.1,10.9,0.579,12.1,34,0.26,acc,28.9,.493,18.8,.579,10.1,.386,15.2,.790,10.6,27.5,38.2,17.0,6.7,3.9,9.3,15.8,83.2,22.5,.384,15.5,.430,7.0,.311,10.7,.729,10.3,20.6,30.9,11.4,5.3,3.1,11.4,16.6,62.8,0.32234901910501346,0.25662353666050525,79.66666666666667,86,1.8333333333333333,0.8333333333333334,23.6,19.4,0.639,-7.91,-6.48,0.7142857142857143,0.5294117647058824,0.6,68,101.7,0.311,0.411,0.546,52.9,60.4,8.7,8.2,0.512,18.9,30.9,0.229,maac,24.7,.441,16.8,.509,7.9,.345,12.8,.736,10.2,27.3,37.5,14.9,6.0,2.8,14.9,15.6,70.1,25.1,.411,16.4,.489,8.7,.316,11.6,.734,10.7,22.7,33.4,13.3,8.8,3.1,11.0,16.1,70.5,0.3186301369863014,0.31061806656101426,77.33333333333333,81,3.1666666666666665,0,34.5,32
8,Mississippi State,/cbb/schools/mississippi-state/men/2025.html,9,Baylor,/cbb/schools/baylor/men/2025.html,1,2025,team2,-3,0.618,17.14,11.79,0.6666666666666666,0.5454545454545454,0.4444444444444444,69.6,113,0.315,0.427,0.548,51.5,53.2,13,13.8,0.519,12.9,33.9,0.221,sec,28.6,.452,20.1,.555,8.5,.314,13.9,.701,12.8,25.1,37.9,15.2,9.1,4.5,10.7,17.4,79.5,25.4,.439,16.3,.503,9.1,.358,14.2,.697,10.7,25.0,35.7,13.5,6.2,3.1,13.3,17.3,74.2,0.3482181818181818,0.29511834319526625,77,82,3.3333333333333335,0.3333333333333333,42,47,0.571,18.77,13.86,0.8125,0.25,0.5,65.8,113.6,0.301,0.398,0.548,52.5,53.3,11.3,8.6,0.514,13.5,36.6,0.225,big-12,27.0,.445,18.6,.510,8.4,.348,13.7,.747,13.0,22.9,35.9,14.4,7.5,2.8,10.8,16.3,76.1,24.4,.440,16.3,.500,8.1,.355,13.0,.703,10.0,22.5,32.5,14.5,5.9,3.9,12.6,16.6,69.8,0.29828747894441326,0.23723723723723725,76,79,3,0.5,30,28.6
5,Oregon,/cbb/schools/oregon/men/2025.html,12,Liberty,/cbb/schools/liberty/men/2025.html,1,2025,team1,29,0.714,18,12.32,0.75,0.6363636363636364,0.6,68.7,110.2,0.33,0.383,0.562,51.5,52.9,10.3,9.9,0.525,14.2,30.5,0.25,big-ten,27.1,.460,19.3,.531,7.7,.344,14.7,.757,10.2,25.6,35.8,14.3,7.2,3.7,11.3,16.3,76.5,25.9,.429,18.6,.497,7.2,.317,11.9,.718,10.5,23.3,33.8,13.1,6.1,3.3,12.1,17.7,70.9,0.3107687959299039,0.2605449794699515,77.33333333333333,84,3.6666666666666665,0.3333333333333333,46.7,42.2,0.8,7.42,-0.99,0.8,0.8181818181818182,0.7222222222222222,67.1,112.7,0.288,0.489,0.596,48.9,61.4,9.8,7.8,0.583,13.7,20.7,0.19,cusa,27.4,.489,16.9,.590,10.5,.383,10.6,.658,6.5,26.4,32.9,16.8,6.6,2.9,10.1,13.4,75.9,23.5,.405,17.6,.469,5.9,.288,10.5,.736,9.6,24.8,34.4,9.4,6.1,2.5,12.1,14.3,63.4,0.2749786507258753,0.3483992467043315,75.5,80,3.3333333333333335,0,53.7,51.1
4,Arizona,/cbb/schools/arizona/men/2025.html,13,Akron,/cbb/schools/akron/men/2025.html,1,2025,team1,28,0.649,22.94,13.72,0.8125,0.5454545454545454,0.7,70.4,116.3,0.358,0.347,0.575,55,55.6,10.6,12.1,0.533,13.7,36,0.28,big-12,29.1,.474,21.9,.547,7.2,.338,17.1,.780,12.3,27.4,39.7,16.2,7.5,4.4,11.4,16.9,82.5,25.8,.419,17.1,.475,8.6,.340,13.1,.717,10.6,21.9,32.5,13.4,6.2,2.8,11.5,17.7,73.3,0.33100671140939597,0.30602883355176935,78.16666666666667,84,3,0.6666666666666666,42.6,42.8,0.8,3.22,-3.75,1,0.6666666666666666,0.9444444444444444,72.5,115.4,0.261,0.459,0.579,52.3,58.6,10.5,9.8,0.552,14,32.7,0.197,mac,30.3,.469,19.5,.560,10.7,.362,12.7,.754,11.8,26.7,38.5,17.7,7.6,3.7,11.8,17.8,84.0,26.7,.433,19.2,.503,7.5,.319,14.2,.717,10.7,24.3,35.1,11.9,7.0,2.5,12.7,16.5,75.1,0.39715302491103205,0.38354301258075485,74.33333333333333,79,3.1666666666666665,0,25,20.7
6,BYU,/cbb/schools/brigham-young/men/2025.html,11,VCU,/cbb/schools/virginia-commonwealth/men/2025.html,1,2025,team1,9,0.722,19.07,10.21,0.8823529411764706,0.5454545454545454,0.7,68.1,117.6,0.304,0.476,0.592,54.3,59.6,10.3,10,0.57,14.9,33.7,0.217,big-12,28.9,.482,18.4,.586,10.5,.368,13.0,.713,11.3,26.3,37.6,17.3,7.1,3.1,12.1,16.3,81.4,25.3,.431,15.6,.496,9.7,.357,12.3,.715,9.4,22.2,31.7,13.4,6.5,2.6,11.7,16.8,72.6,0.4279863481228669,0.40736949846468784,77.83333333333333,81,3,0,49,49.6,0.8,14.45,1.3,0.9375,0.7,0.8333333333333334,66.6,115.1,0.321,0.48,0.56,53.3,56.4,12,15.3,0.526,14.1,36.9,0.239,atlantic-10,26.5,.445,16.9,.545,9.6,.336,14.2,.743,13.2,25.0,38.2,15.0,8.1,5.4,11.3,18.1,76.9,21.3,.391,15.5,.437,5.8,.305,14.4,.716,10.9,22.6,33.5,10.0,6.5,2.4,13.7,17.1,62.9,0.3520284697508897,0.23356851095432604,76.83333333333333,82,3.8333333333333335,0.3333333333333333,60.9,64.7
3,Wisconsin,/cbb/schools/wisconsin/men/2025.html,14,Montana,/cbb/schools/montana/men/2025.html,1,2025,team1,19,0.73,20.73,11.49,0.8235294117647058,0.5454545454545454,0.65,68.7,116.3,0.342,0.482,0.584,51.7,54.2,7.5,6.3,0.538,12.3,28,0.282,big-ten,26.8,.454,16.9,.552,9.9,.348,16.6,.826,9.4,27.1,36.5,14.5,5.1,2.4,9.6,16.5,80.1,25.3,.416,17.4,.469,7.9,.333,12.3,.729,9.9,24.1,34.0,12.6,4.8,3.3,10.0,18.5,70.9,0.3301010101010101,0.2526990553306343,77.83333333333333,84,3.3333333333333335,0.16666666666666666,51.4,47,0.714,-1.45,-1.6,0.9375,0.4666666666666667,0.8333333333333334,68,112.3,0.349,0.37,0.594,49.2,49.2,9.2,8.4,0.565,14.4,23.7,0.256,big-sky,27.5,.498,20.2,.581,7.3,.358,14.2,.736,7.2,24.4,31.7,13.5,6.3,3.2,10.9,16.1,76.6,26.7,.457,20.1,.527,6.7,.327,13.1,.740,9.4,23.3,32.7,12.4,5.5,2.9,10.9,17.5,73.3,0.3271640091116173,0.26940298507462684,76.5,80,3.1666666666666665,0,30.9,32.9
7,Saint Mary's,/cbb/schools/saint-marys-ca/men/2025.html,10,Vanderbilt,/cbb/schools/vanderbilt/men/2025.html,1,2025,team1,3,0.829,17.43,6.46,0.9411764705882353,0.9,0.9444444444444444,63.7,113.6,0.309,0.334,0.533,57.5,56.3,9.5,10.6,0.504,12.4,39.8,0.215,wcc,26.9,.450,20.5,.516,6.4,.319,12.8,.695,14.0,25.7,39.7,15.1,6.1,4.0,9.7,14.9,72.9,22.8,.411,17.3,.457,5.5,.311,10.1,.740,8.3,21.1,29.4,12.3,5.2,2.9,10.6,16.7,61.1,0.23098751418842225,0.24304194433555468,77.66666666666667,82,2.8333333333333335,0,47.3,48.7,0.606,14.66,10.05,0.8235294117647058,0.3,0.4444444444444444,69.8,112.6,0.334,0.404,0.552,50,50.2,12.8,11.2,0.515,12.5,31.6,0.249,sec,27.7,.450,19.6,.535,8.1,.325,15.4,.746,11.5,23.2,34.7,13.9,8.9,3.9,10.2,17.9,78.9,25.6,.458,17.9,.514,7.7,.366,15.5,.719,9.8,24.8,34.7,12.1,5.6,4.3,13.9,17.4,74.3,0.39773584905660375,0.33102918586789554,77,80,3,0.3333333333333333,10.4,4.8
2,Alabama,/cbb/schools/alabama/men/2025.html,15,Robert Morris,/cbb/schools/robert-morris/men/2025.html,1,2025,team1,9,0.757,25.54,16.14,0.8,0.75,0.7222222222222222,76,118.5,0.393,0.466,0.596,53.5,55.4,8.1,10.1,0.566,14.3,33.7,0.283,sec,31.0,.484,20.5,.597,10.5,.353,18.1,.720,12.4,29.9,42.4,17.2,6.2,4.5,12.7,18.9,90.7,29.0,.426,21.9,.490,7.2,.304,16.1,.710,12.5,24.4,36.9,13.0,7.8,4.1,10.3,20.5,81.3,0.48610924708092873,0.4253353204172876,77.16666666666667,83,3.1666666666666665,0.5,51.2,54.4,0.743,0.4,-4.92,0.8888888888888888,0.5714285714285714,0.75,68.8,109.8,0.375,0.366,0.55,53.4,60.2,9.1,12.1,0.513,15.6,35.5,0.27,horizon,26.7,.449,19.1,.509,7.5,.347,16.1,.721,12.5,24.9,37.4,16.1,6.4,4.5,12.9,16.7,77.0,25.8,.442,18.8,.502,7.0,.334,12.5,.719,9.8,22.8,32.6,13.3,7.1,3.5,13.1,19.1,71.0,0.2788151059946652,0.2164068299925761,76.66666666666667,81,2.8333333333333335,0,16.6,12
1,Duke,/cbb/schools/duke/men/2025.html,9,Baylor,/cbb/schools/baylor/men/2025.html,2,2025,team1,23,0.897,30.72,10.26,1,0.9090909090909091,0.95,66.6,125,0.329,0.446,0.613,55.2,58.6,10.1,10.9,0.579,12.1,34,0.26,acc,28.9,.493,18.8,.579,10.1,.386,15.2,.790,10.6,27.5,38.2,17.0,6.7,3.9,9.3,15.8,83.2,22.5,.384,15.5,.430,7.0,.311,10.7,.729,10.3,20.6,30.9,11.4,5.3,3.1,11.4,16.6,62.8,0.32234901910501346,0.25662353666050525,79.66666666666667,86,1.8333333333333333,0.8333333333333334,23.6,19.4,0.571,18.77,13.86,0.8125,0.25,0.5,65.8,113.6,0.301,0.398,0.548,52.5,53.3,11.3,8.6,0.514,13.5,36.6,0.225,big-12,27.0,.445,18.6,.510,8.4,.348,13.7,.747,13.0,22.9,35.9,14.4,7.5,2.8,10.8,16.3,76.1,24.4,.440,16.3,.500,8.1,.355,13.0,.703,10.0,22.5,32.5,14.5,5.9,3.9,12.6,16.6,69.8,0.29828747894441326,0.23723723723723725,76,79,3,0.5,30,28.6
5,Oregon,/cbb/schools/oregon/men/2025.html,4,Arizona,/cbb/schools/arizona/men/2025.html,2,2025,team2,-4,0.714,18,12.32,0.75,0.6363636363636364,0.6,68.7,110.2,0.33,0.383,0.562,51.5,52.9,10.3,9.9,0.525,14.2,30.5,0.25,big-ten,27.1,.460,19.3,.531,7.7,.344,14.7,.757,10.2,25.6,35.8,14.3,7.2,3.7,11.3,16.3,76.5,25.9,.429,18.6,.497,7.2,.317,11.9,.718,10.5,23.3,33.8,13.1,6.1,3.3,12.1,17.7,70.9,0.3107687959299039,0.2605449794699515,77.33333333333333,84,3.6666666666666665,0.3333333333333333,46.7,42.2,0.649,22.94,13.72,0.8125,0.5454545454545454,0.7,70.4,116.3,0.358,0.347,0.575,55,55.6,10.6,12.1,0.533,13.7,36,0.28,big-12,29.1,.474,21.9,.547,7.2,.338,17.1,.780,12.3,27.4,39.7,16.2,7.5,4.4,11.4,16.9,82.5,25.8,.419,17.1,.475,8.6,.340,13.1,.717,10.6,21.9,32.5,13.4,6.2,2.8,11.5,17.7,73.3,0.33100671140939597,0.30602883355176935,78.16666666666667,84,3,0.6666666666666666,42.6,42.8
